,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.412,0.009,0.188,0.017,0.697,10.581657453592783,1.0094971197259848,0.8860345632881831
1,MultirefBlock,20,0.495,0.05,0.992,0.095,0.889,25.77262542035851,0.9191531685137823,0.6909633418584825
2,MultirefSVMBlock,20,0.534,0.054,0.992,0.102,0.914,19.108123374456113,0.9426057262936696,0.7407407407407407
3,BaseClassifier,40,0.1,0.026,0.917,0.051,0.503,58.21955712037476,0.5312767780634104,0.5012853470437018
4,MultirefBlock,40,0.473,0.048,1.0,0.092,0.89,28.52572090493146,0.9133094598627275,0.6803939122649956
5,MultirefSVMBlock,40,0.546,0.055,0.992,0.104,0.913,16.052831730635376,0.9450211457131872,0.7993079584775087
6,BaseClassifier,60,0.044,0.026,0.977,0.052,0.502,102.43764804621259,0.4384057971014493,0.5217391304347826
7,MultirefBlock,60,0.433,0.045,1.0,0.086,0.883,36.337907257588625,0.8903638151425761,0.5943952802359882
8,MultirefSVMBlock,60,0.498,0.05,1.0,0.096,0.926,20.108805767411837,0.9446567586694974,0.7537154989384289
9,BaseClassifier,80,0.043,0.026,0.977,0.052,0.503,108.40975268665505,0.34865900383141757,0.45977011494252873
10,MultirefBlock,80,0.464,0.047,1.0,0.09,0.893,29.716577579475313,0.9011893870082341,0.6578225068618482
11,MultirefSVMBlock,80,0.522,0.053,1.0,0.1,0.93,16.58588819062024,0.9511308562197092,0.8000807754442649
12,BaseClassifier,100,0.105,0.026,0.895,0.051,0.511,55.097540773043875,0.6137440758293838,0.5616113744075829
13,MultirefBlock,100,0.467,0.048,1.0,0.091,0.891,29.05264831181549,0.9027272727272726,0.6536363636363637
14,MultirefSVMBlock,100,0.494,0.05,1.0,0.095,0.92,18.786213114941745,0.9311671654553227,0.7674219752030782
