,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.645,0.431,0.266,0.329,0.452,6.377900500396208,1.0854208416833666,0.9946539946539946
1,MultirefBlock,20,0.719,0.543,0.882,0.672,0.828,10.001481490459014,0.969309462915601,0.8584825234441603
2,MultirefSVMBlock,20,0.729,0.557,0.84,0.67,0.827,6.4722027971792215,0.998555292881534,0.8995271867612293
3,BaseClassifier,40,0.369,0.338,0.974,0.502,0.475,59.03185053666584,0.7025813692480358,0.6397306397306397
4,MultirefBlock,40,0.71,0.533,0.903,0.67,0.838,11.433340572934355,0.9679200238734706,0.8581020590868398
5,MultirefSVMBlock,40,0.708,0.536,0.788,0.638,0.8,5.55094051316334,1.0073048827374085,0.9231064975009612
6,BaseClassifier,60,0.602,0.343,0.239,0.282,0.492,7.5312935169178274,1.0508635578583765,0.9717849717849718
7,MultirefBlock,60,0.696,0.519,0.942,0.669,0.847,16.371345657501706,0.9477220583415273,0.7890855457227138
8,MultirefSVMBlock,60,0.698,0.524,0.848,0.647,0.815,7.691778615225417,0.9929228591648973,0.8912951167728238
9,BaseClassifier,80,0.604,0.409,0.483,0.443,0.427,8.106377898057332,1.1035904111074952,0.9489098600715913
10,MultirefBlock,80,0.71,0.532,0.917,0.674,0.841,12.47178095987121,0.9461726136017079,0.8398902104300091
11,MultirefSVMBlock,80,0.708,0.534,0.826,0.649,0.814,6.009675249449174,1.008481421647819,0.9248788368336026
12,BaseClassifier,100,0.482,0.234,0.259,0.246,0.576,14.440367254623538,1.100229453483521,0.9158322903629537
13,MultirefBlock,100,0.71,0.533,0.914,0.673,0.84,12.00293524200697,0.949090909090909,0.835
14,MultirefSVMBlock,100,0.698,0.523,0.853,0.649,0.826,7.103949742783868,0.9874590280746758,0.9008123129542539
