,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.936,0.0,0.0,0.0,0.5,0.5848424662321463,0.9907333333333332,1.0
1,MultirefBlock,20,0.541,0.106,0.826,0.188,0.758,2.7911935557058882,0.9791666666666666,0.9551282051282052
2,MultirefSVMBlock,20,0.467,0.081,0.704,0.145,0.598,4.067707841798267,0.9550408719346049,0.9259763851044505
3,BaseClassifier,40,0.936,0.0,0.0,0.0,0.5,0.5848424662321463,0.9907333333333332,1.0
4,MultirefBlock,40,0.633,0.131,0.838,0.227,0.805,1.8279611030648937,0.9884706680230586,0.970498474059003
5,MultirefSVMBlock,40,0.525,0.082,0.626,0.145,0.592,2.892639377892266,0.982973149967256,0.950098231827112
6,BaseClassifier,60,0.936,0.0,0.0,0.0,0.5,0.5848424662321463,0.9907333333333332,1.0
7,MultirefBlock,60,0.678,0.154,0.894,0.263,0.87,1.7046459454831222,0.9934098639455782,0.9754464285714286
8,MultirefSVMBlock,60,0.602,0.113,0.757,0.196,0.722,2.0103620685830776,0.9883966244725737,0.9732770745428974
9,BaseClassifier,80,0.936,0.0,0.0,0.0,0.5,0.5848424662321463,0.9907333333333332,1.0
10,MultirefBlock,80,0.683,0.157,0.897,0.267,0.873,1.5915475494024918,0.9956764736897605,0.9794368870610566
11,MultirefSVMBlock,80,0.617,0.097,0.595,0.166,0.648,2.295856878509994,0.9919532627865961,0.9712301587301587
12,BaseClassifier,100,0.936,0.0,0.0,0.0,0.5,0.5848424662321463,0.9907333333333332,1.0
13,MultirefBlock,100,0.701,0.164,0.894,0.278,0.884,1.4824391387476226,0.9952878508502355,0.9778733866011063
14,MultirefSVMBlock,100,0.537,0.086,0.642,0.151,0.615,2.570707335859055,0.9668209876543209,0.9614197530864198
