,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.885,0.0,0.0,0.0,0.5,0.84104366719788,0.9265999999999999,1.0
1,MultirefBlock,20,0.792,0.188,0.246,0.213,0.665,1.5261330999953202,0.9269632070291048,0.9618733819722287
2,MultirefSVMBlock,20,0.805,0.225,0.284,0.251,0.693,1.4304882655956135,0.9361254094525036,0.9649040711277492
3,BaseClassifier,40,0.885,0.0,0.0,0.0,0.5,0.84104366719788,0.9265999999999999,1.0
4,MultirefBlock,40,0.7,0.178,0.445,0.254,0.656,2.628433863927455,0.9214365881032547,0.9189113355780022
5,MultirefSVMBlock,40,0.577,0.183,0.775,0.296,0.698,6.053340316819288,0.9342923794712286,0.8118195956454122
6,BaseClassifier,60,0.885,0.0,0.0,0.0,0.5,0.84104366719788,0.9265999999999999,1.0
7,MultirefBlock,60,0.677,0.18,0.511,0.266,0.661,3.074233778259014,0.9350918790752815,0.9039715471250741
8,MultirefSVMBlock,60,0.694,0.229,0.707,0.346,0.743,3.7071850984444836,0.9477265697494587,0.8756572842561089
9,BaseClassifier,80,0.885,0.0,0.0,0.0,0.5,0.84104366719788,0.9265999999999999,1.0
10,MultirefBlock,80,0.608,0.163,0.583,0.254,0.645,4.22182854267453,0.9168646080760094,0.8652867322701052
11,MultirefSVMBlock,80,0.36,0.141,0.897,0.243,0.651,17.84022839869789,0.9049391908662199,0.676842889054356
12,BaseClassifier,100,0.885,0.0,0.0,0.0,0.5,0.84104366719788,0.9265999999999999,1.0
13,MultirefBlock,100,0.642,0.168,0.538,0.256,0.645,3.697491762225809,0.920770202020202,0.8838383838383839
14,MultirefSVMBlock,100,0.321,0.134,0.902,0.233,0.629,18.646931373848588,0.8877223680373287,0.6701662292213474
